"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.09, 655.13, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.17, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.16, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.16, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.11, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.23, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.13, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.14, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.17, 655.17, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.14, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.18, 0.07]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.18, 655.14, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.19, 655.15, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.1, 655.15, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.11, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.14, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.1, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.09, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.11], 'gyro': [0.14, 655.11, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.18, 655.13, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.1, 655.14, 0.06]}"
"'ShootPacket': {'playerID': 1, 'isShot': True}"
"'ShootPacket': {'playerID': 1, 'isFired': True}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.09, 655.16, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.16, 655.35]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.12, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.11, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.1, 0.06]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.14, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.12, 0.08]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.11, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.14, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.1, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.14, 655.35]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.15, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.12, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.21, 655.35]}"
"'ShootPacket': {'playerID': 1, 'isFired': True}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.15, 0.02]}"
"'ShootPacket': {'playerID': 1, 'isShot': True}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.14, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.1, 0.08]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.14, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.09, 655.11, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.14, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.13, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.11, 0.07]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.15, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.11, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.09, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.11], 'gyro': [0.13, 655.16, 0.06]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.15, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.17, 655.12, 0.06]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.07, 655.11, 0.07]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.15, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.09, 655.13, 0.01]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.14, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.18, 655.34]}"
"'ShootPacket': {'playerID': 1, 'isShot': True}"
"'ShootPacket': {'playerID': 1, 'isFired': True}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.19, 655.13, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.1, 655.06, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.11, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.13, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.16, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.1, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.15, 655.07, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.21, 0.07]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.08, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.15, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.11, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.1, 655.19, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.12, 655.17, 0.0]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.32, 0.3, 1.1], 'gyro': [0.17, 655.15, 0.05]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.1, 655.12, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.16, 0.07]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.08, 655.1, 655.35]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.16, 655.15, 0.07]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.13, 655.17, 0.02]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.11], 'gyro': [0.14, 655.17, 0.04]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.14, 655.14, 0.03]}"
"'IMUPacket': {'playerID': 1, 'accel': [0.31, 0.3, 1.1], 'gyro': [0.11, 655.11, 0.0]}"
